176,225,0.222
69,223,0.429
28,285,0.324
26,225,0.568
18,28,0.485
26,127,0.667
26,174,0.184
26,280,0.282
26,81,0.359
26,4,0.25
26,152,0.237
26,225,0.568
26,208,0.444
26,9,0.222
26,18,0.444
26,121,0.297
26,64,0.083
26,30,0.324
26,191,0.278
26,53,0.342
26,307,0.405
26,298,0.349
26,12,0.395
26,285,0.231
26,180,0.289
26,69,0.27
26,223,0.472
26,256,0.324
28,4,0.273
26,127,0.667
26,174,0.184
26,280,0.282
26,81,0.359
26,4,0.25
26,152,0.237
26,225,0.568
26,208,0.444
26,9,0.222
26,18,0.444
26,121,0.297
26,64,0.083
26,30,0.324
26,191,0.278
26,53,0.342
26,307,0.405
26,298,0.349
26,12,0.395
26,285,0.231
26,180,0.289
26,69,0.27
26,223,0.472
26,256,0.324
26,307,0.405
225,26,0.568
280,151,0.278
280,151,0.278
26,225,0.568
26,225,0.568
18,208,0.545
18,307,0.545
223,225,0.414
26,225,0.568
69,223,0.429
307,28,0.441
151,280,0.278
307,180,0.476
18,208,0.545
180,152,0.238
151,280,0.278
151,280,0.278
9,225,0.28
28,285,0.324
251,12,0.263
12,251,0.263
26,92,0.139
180,307,0.476
208,28,0.485
208,28,0.485
180,152,0.238
151,280,0.278
151,280,0.278
28,285,0.324
28,251,0.152
53,280,0.348
180,152,0.238
18,208,0.545
26,4,0.25
280,174,0.25
280,53,0.348
180,152,0.238
223,28,0.515
180,152,0.238
12,28,0.515
251,28,0.152
180,292,0.176
53,307,0.375
307,53,0.375
280,174,0.25
280,53,0.348
176,223,0.4
176,223,0.4
28,9,0.206
28,18,0.485
28,151,0.176
28,307,0.441
28,285,0.324
208,28,0.485
208,28,0.485
208,28,0.485
28,12,0.515
208,28,0.485
225,176,0.222
225,176,0.222
53,280,0.348
69,223,0.429
280,53,0.348
26,4,0.25
28,9,0.206
28,18,0.485
28,151,0.176
28,307,0.441
28,12,0.515
26,225,0.568
180,18,0.409
12,28,0.515
151,280,0.278
53,280,0.348
151,280,0.278
180,18,0.409
151,54,0.222
208,28,0.485
30,54,0.133
53,174,0.444
53,280,0.348
18,28,0.485
280,151,0.278
152,280,0.286
151,280,0.278
180,18,0.409
280,151,0.278
9,28,0.206
151,280,0.278
18,180,0.409
26,225,0.568
180,307,0.476
180,307,0.476
180,18,0.409
180,298,0.321
180,298,0.321
18,307,0.545
180,18,0.409
69,223,0.429
223,69,0.429
180,298,0.321
53,298,0.393
30,28,0.353
307,127,0.516
307,18,0.545
151,152,0.333
152,151,0.333
152,28,0.257
9,127,0.258
28,195,0.061
28,141,0.206
28,127,0.771
28,280,0.343
28,208,0.485
28,18,0.485
28,307,0.441
28,26,0.718
28,12,0.515
28,285,0.324
28,223,0.515
26,92,0.139
28,280,0.343
28,81,0.316
28,152,0.257
28,176,0.273
28,64,0.091
28,30,0.353
28,151,0.176
28,26,0.718
28,69,0.294
28,223,0.515
151,54,0.222
69,121,0.316
28,285,0.324
30,26,0.324
26,30,0.324
81,226,0.136
53,174,0.444
4,12,0.4
12,4,0.4
4,12,0.4
12,4,0.4
4,12,0.4
152,151,0.333
26,225,0.568
